id,cle_stable,categorie,offset_ou_pointeur,ligne_script,layout,intervenant,texte_francais,texte_chinois_source,traduction_anglaise_rom_anglaise,confiance_alignement,historique_traduction,naturalise,corrige_d_apres_le_chinois,votre_verdict,votre_commentaire
D0248,MAIN:0x037BEF,Dialogue en jeu,0x037BEF,4191,dialogue_19_19,,"Cette grotte est
très sombre.
Avec Flash,
un Pokémon peut
l'éclairer.","洞里太黑了,能掌握一些闪光的法术就好了!","The cave is pitch black, a Pok@mon could light it up.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0249,MAIN:0x03804B,Dialogue en jeu,0x03804B,4792,dialogue_19_19,,Retirer  Déposer,精灵取出精灵存放,Withdraw Deposit,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0250,MAIN:0x03805C,Dialogue en jeu,0x03805C,6491,dialogue_19_19,,NANJING TECH. TOUS DROITS RÉSERVÉS.,南晶公司版权所有,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0251,MAIN:0x03806F,Dialogue en jeu,0x03806F,4793,dialogue_19_19,,Le PC s'allume...,精灵系统启动...,Turned on the PC,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0252,MAIN:0x038080,Dialogue en jeu,0x038080,4794,dialogue_19_19,,Le PC s'éteint...,精灵系统关闭...!,Turned off the PC,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0253,MAIN:0x038092,Dialogue en jeu,0x038092,4795,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Cette Poké Ball
abrite un Pokémon.
Il est pour toi !","喔...小智在那有个圆圆的球吧,那里有宠物精灵是要给你的!拿去吧!","Go ahead,it's yours",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0254,MAIN:0x0380A6,Dialogue en jeu,0x0380A6,4801,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Rapproche-toi
de tes Pokémon.",要多和怪兽亲近.,"Ash,take good care of Pikachu.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0255,MAIN:0x0380C5,Dialogue en jeu,0x0380C5,4812,dialogue_19_19,,"Salut !
Je peux t'aider ?",欢迎!买东西吗?,Hello! May I help you?,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0256,MAIN:0x0380DD,Dialogue en jeu,0x0380DD,6493,dialogue_19_19,,"Un combat suffit :
nous voilà amis !",不打不相识!,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0257,MAIN:0x0380EE,Dialogue en jeu,0x0380EE,4816,dialogue_19_19,MAJOR BOB,MAJOR BOB : Battu ! Prends le Badge Foudre et ceci !,"马其斯:我输了,那么这个橙色徽章拿去吧,还有这个是我的心意!","Good job, kid!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0258,MAIN:0x0380FD,Dialogue en jeu,0x0380FD,4821,dialogue_19_19,,Merci !,谢谢惠顾,Thank you.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0259,MAIN:0x038108,Dialogue en jeu,0x038108,4826,dialogue_19_19,,Bienvenue !,欢迎光临!,We hope to see you again!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0260,MAIN:0x038122,Dialogue en jeu,0x038122,1666,dialogue_19_19,,Carapuce reçu !,得到杰尼龟,Got Squirtle!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0261,MAIN:0x038130,Dialogue en jeu,0x038130,211,dialogue_19_19,,Soigner  Partir,恢复    放弃,Heal Leave,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0262,MAIN:0x038149,Dialogue en jeu,0x038149,4827,dialogue_19_19,,"Désolé, impossible de combattre ici pour le moment...","对不起,因为机能所限这里暂时不能够对战...","Sorry, the Trading Center is closed.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0263,MAIN:0x038173,Dialogue en jeu,0x038173,4828,dialogue_19_19,,"Même la machine
d'échange est
en panne...
Reviens plus tard.",交换机器也坏了...下次再来看看吧,"Sorry, the Cable Club's closed",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0264,MAIN:0x038194,Dialogue en jeu,0x038194,212,dialogue_19_19,,Acheter  Annuler,买      不买,Buy Pass,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0265,MAIN:0x0381A5,Dialogue en jeu,0x0381A5,6503,dialogue_19_19,,Pas assez d'argent !,钱不够!,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0266,MAIN:0x0381AF,Dialogue en jeu,0x0381AF,214,dialogue_19_19,,Oui     Non,是      否,Yes No,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0267,MAIN:0x0381C1,Dialogue en jeu,0x0381C1,213,dialogue_19_19,,Karaté  Taekwondo,空手道  跆拳道,Left Right,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0268,MAIN:0x0381D2,Dialogue en jeu,0x0381D2,4833,dialogue_19_19,,"Sacha utilise
Coupe !",小智使用了居合斩,Used HM CUT!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0269,MAIN:0x0381E0,Dialogue en jeu,0x0381E0,6504,dialogue_19_19,,Sacha utilise Vol !,小智使用了飞天术,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0270,MAIN:0x0381F6,Dialogue en jeu,0x0381F6,6510,dialogue_19_19,,Sacha utilise Surf !,小智使用了冲浪术,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0271,MAIN:0x038208,Dialogue en jeu,0x038208,6516,dialogue_19_19,,Sacha utilise Force !,小智使用了怪力术,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0272,MAIN:0x03821A,Dialogue en jeu,0x03821A,6522,dialogue_19_19,,"On peut sans doute
pousser ce rocher.",这块石头好像能被推动,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0273,MAIN:0x038230,Dialogue en jeu,0x038230,4837,dialogue_19_19,,"Cet arbre peut être
coupé !",这棵树苗好像能被斩断,This tree can be cut!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0274,MAIN:0x038445,Dialogue en jeu,0x038445,314,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Bien le bonjour !
Bienvenue !
Voici le monde
magique
des Pokémon !
Mon nom est Chen,
le Prof Pokémon !
Des Pokémon
vivent partout.
Certains sont
nos compagnons.
D'autres les font
combattre.
Moi, je les étudie.
Sacha !
Ta quête commence !
Rêves et aventures
t'attendent !","你好!欢迎你光临宠物精灵的世界!大家都叫我大木博士,在这世界住着被称为宠物精灵的生物!这生物被视为宠物,或使用于对战等等.而我是研究这宠物精灵的!小智,一个将属于你的故事,梦想即将开始!",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0275,MAIN:0x0384F8,Dialogue en jeu,0x0384F8,320,dialogue_19_19,RÉGIS,"RÉGIS : Hé, Sacha !
Pépé n'est pas là !
Pour un Pokémon,
j'ai rappliqué !","小茂:嗨!小智,你要找大木爷爷的话,他不在喔!我也是听他说要给宠物精灵才赶紧来的...",YO ASH! Gramps isn't around!,high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0276,MAIN:0x038519,Dialogue en jeu,0x038519,331,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Ne sors pas !
Des Pokémon rôdent
dans les herbes.
Il t'en faut un.
Suis-moi !",大木:真是危险!野生精灵会从草丛中跳出来的!你如有宠物精灵是可与他对战...对了!跟我来一下吧!,"Hey! Wait! Don't goout! It's unsafe! Wild Pok@mon live in tall grass! You need your own Pok@mon for safety.I know! Here, come with me!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0277,MAIN:0x0385A7,Dialogue en jeu,0x0385A7,337,dialogue_19_19,RÉGIS,"RÉGIS : Pépé !
Te voilà !","小茂:爷爷,你回来了!",Gary:Hey Gramps! I'm fed up with waiting!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0278,MAIN:0x0385D6,Dialogue en jeu,0x0385D6,344,dialogue_19_19,RÉGIS,RÉGIS : Pépé ! C'est pas juste ! Et moi ?,小茂:啊!...啊!偏心!爷爷我也要!,Hey! Gramps! What about me?,high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0279,MAIN:0x0385F3,Dialogue en jeu,0x0385F3,350,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Patience, Régis.
Tu l'auras bientôt.",大木:小茂你急什么!我等一下也会给你的,"Be patient Gary, I'll give you one later.",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0280,MAIN:0x038620,Dialogue en jeu,0x038620,356,dialogue_19_19,RÉGIS,RÉGIS : Pff ! J'aurai un meilleur Pokémon que toi !,小茂:哼!我一定能拿到比你好的!,"Humph! I'll get a better Pok@mon thanyou,Ash!",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0281,MAIN:0x03864F,Dialogue en jeu,0x03864F,361,dialogue_19_19,RÉGIS,"RÉGIS : Non !
Il est à moi !","小茂:小智,这个可是我的!",No way Ash! I want this Pok@mon!,high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0282,MAIN:0x038670,Dialogue en jeu,0x038670,366,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Régis !
Que fais-tu ?",大木:喂!什么!你在做什么!,Gary! What are you doing?,high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0283,MAIN:0x03868A,Dialogue en jeu,0x03868A,371,dialogue_19_19,RÉGIS,"RÉGIS :
Pépé, je le veux !",小茂:爷爷!人家就是想要这个嘛!,"Gramps,I want this one!",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0284,MAIN:0x0386A2,Dialogue en jeu,0x0386A2,377,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Bon, d'accord.
Il est à toi.
Je comptais déjà
t'en donner un.
Sacha, viens ici !","大木:真是拿你没办法,好吧!那个宠物精灵就给你吧!反正是早晚的是...小智,你来一下好吗?","Oak:But, I...Oh,allright then. That Pok@mon is yours. Iwas going to give you one anyway... Ash,come over here.",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0285,MAIN:0x038715,Dialogue en jeu,0x038715,383,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Je l'ai capturé.
Il craint encore
les humains.",大木:这里还有一只是刚刚抓的.和人还不是能亲近的,"Oak:Ash, this is a Pok@mon I caught earlier.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0286,MAIN:0x038744,Dialogue en jeu,0x038744,403,dialogue_19_19,,Pikachu reçu !,得到比卡丘,You can have it.,high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0287,MAIN:0x038755,Dialogue en jeu,0x038755,405,dialogue_19_19,RÉGIS,"RÉGIS : Sacha !
Testons-les.
Je te défie !",小茂:刚得到精灵就当我的对手练习练习吧!,"Gary:Wait Ash! Let's check out ourPok@mon! Come on, I'll take you on!",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0288,MAIN:0x0387A0,Dialogue en jeu,0x0387A0,411,dialogue_19_19,RÉGIS,"RÉGIS : Ton Pokémon est fort ! Je vais entraîner le mien ailleurs. À plus, Sacha ! Salut, Papy !","小茂:这不是开玩笑吗,你的精灵这么强??好吧,那我就去找别的精灵对战!好让我的精灵更强!小智.爷爷,再见了!",Okay! I'll make my Pok@mon fight to toughen it up! Ash!Gramps! Smell you later!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0289,MAIN:0x0387F3,Dialogue en jeu,0x0387F3,419,dialogue_19_19,,Bourg Palette ? Porte la commande du Prof. Chen !,"店员:你是从真新镇来的吧?你知道大木博士吧.这是他要的东西,请转交给他!","Hey! You came from Pallet Town? You know ProfOak,right?His order came in, can you take it to him? Thank you.",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0290,MAIN:0x038862,Dialogue en jeu,0x038862,6530,dialogue_19_19,,Attends un peu. Écoute-moi.,"老爷爷:你等等,听听我的话",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0291,MAIN:0x038880,Dialogue en jeu,0x038880,6533,dialogue_19_19,,"Tu veux quand même
y aller ?",老爷爷:你还去?,NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0292,MAIN:0x038891,Dialogue en jeu,0x038891,1584,dialogue_19_19,,Tu peux entrer.,士兵:请进,Lt.Surge hid a switch inside the cans!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0293,MAIN:0x0388BD,Dialogue en jeu,0x0388BD,1585,dialogue_19_19,PROF. CHEN,PROF. CHEN : Pikachu t'apprécie. Tu feras un bon Dresseur !,"大木:嗨!小智,怎样啊?与我给你的精灵好像相处的不错哦,你有宠物精灵训练师的才能喔!","Oh,Ash! How is Pikachu?",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0294,MAIN:0x0388DE,Dialogue en jeu,0x0388DE,1586,dialogue_19_19,PROF. CHEN,"PROF. CHEN : Quoi ?
C'est pour moi ?",大木:啊?有东西要交给我?,He seems to like you...Hm? you have something for me?,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0295,MAIN:0x038916,Dialogue en jeu,0x038916,1594,dialogue_19_19,,"Sacha remet
le Colis Chen
au Prof. Chen !",小智将包裹交给博士了!,Ah! This is the custom Pok@ball I ordered!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0296,MAIN:0x038945,Dialogue en jeu,0x038945,425,dialogue_19_19,CHEN,CHEN : Ma Poké Ball spéciale ! Merci. J'ai une mission.,"大木:这不就是我订的特制精灵球吗?谢谢你,对了!忘了告诉你有事要拜托你",Thank you!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0297,MAIN:0x038950,Dialogue en jeu,0x038950,427,dialogue_19_19,RÉGIS,"RÉGIS : Papy !
Mon Pokémon a
grandi ! Regarde !",小茂:爷爷!我的精灵成长了!快来看啊,Gary:Gramps! What did you call me for?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0298,MAIN:0x03897B,Dialogue en jeu,0x03897B,440,dialogue_19_19,,Pokédex obtenu !,得到图鉴,Received Pok@dex!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0299,MAIN:0x03898D,Dialogue en jeu,0x03898D,441,dialogue_19_19,PROF. CHEN,"PROF. CHEN :
Mon rêve : finir
le Pokédex complet.
Je suis trop vieux.
Prenez le relais !","大木:我的梦想就是制作一本完整的图鉴,但我已经老了不行了!现在希望由你们替我完成梦想!这是能在宠物精灵历史留名的工作,你们该出发了!",Gary:Okay Gramps! Leave it all to me!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0300,MAIN:0x0389B4,Dialogue en jeu,0x0389B4,457,dialogue_19_19,RÉGIS,"RÉGIS : Papy,
confie-moi tout !
Dommage pour Sacha.
Je prends la Carte
chez ma sœur. Toi,
tu ne l'auras pas !
Ha ha !","小茂:爷爷!就交给我一个人就好了,小智真可惜没有你出场的份!对了我要去向姐姐借城镇地图去,我要叫他不要借给你,小智!哈哈,你去也没用的!","Ash, I hate to say it, but I don't need you! I know! I'll borrow a Town Map from my Sis! I'll tell her not to lend you one, Ash! Hahaha!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0301,MAIN:0x038A46,Dialogue en jeu,0x038A46,477,dialogue_19_19,SŒUR DE RÉGIS,"SŒUR DE RÉGIS :
Pépé t'envoie
en course ?
Tiens, ça t'aidera.","小茂姐姐:爷爷有任务交给你啊,真辛苦,这个给你用吧","Gary's Sis:Grandpa asked you to run anerrand? Here,this will help you!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0302,MAIN:0x038A8E,Dialogue en jeu,0x038A8E,483,dialogue_19_19,,Carte obtenue !,得到地图,Received Town Map!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0303,MAIN:0x038AA1,Dialogue en jeu,0x038AA1,485,dialogue_19_19,,"Quel mal de tête...
Je te bloquais ?
Pour le Pokédex,
achète
des Poké Balls !","老爷爷:上次好像喝醉似的头好痛,什么?我妨碍了你,你在完成精灵图鉴啊?那么抓精灵需要精灵球,只要到附近的商店就能买到","Old man:Ahhh! I'm feeling much betternow! Hm? Oh! Sure, you can go through!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0304,MAIN:0x038AEE,Dialogue en jeu,0x038AEE,503,dialogue_19_19,,L'Arène est fermée à clé.,常青道馆上了锁,It's locked!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0305,MAIN:0x038B03,Dialogue en jeu,0x038B03,513,dialogue_19_19,RÉGIS,"RÉGIS : Sacha !
Tu vas à la Ligue ?
Pas de Badge ?
Passage interdit !
Tes Pokémon
ont progressé ?","小茂:小智!你要去宠物精灵联盟啊?算了吧!反正我看你也没有徽章,把关的人不会让你过去的!还有你的精灵到底有没有变强啊?","Gary:Hey Ash!You'regoing to the Pok@mon League? Forget it, you probably don't haveany Badges! The guard won't let youthrough! So,did your Pok@mon get any stronger?",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0306,MAIN:0x038BBC,Dialogue en jeu,0x038BBC,519,dialogue_19_19,RÉGIS,"RÉGIS : La Ligue regorge de grands Dresseurs. Je passerai. Toi aussi, avance !","小茂:在宠物精灵联盟里尽是非常强劲的训兽师,不能不想办法通过那里,你也不能尽是停留在这里,想办法往前进吧!","I hear the Pok@mon League has many tough trainers,I have to figure out how to get past them!You should quit dawdling and get a move on!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0307,MAIN:0x038C50,Dialogue en jeu,0x038C50,525,dialogue_19_19,,"Tu vises le titre ?
Alors, bats-moi !",捉虫少年:以最强的训练家为目标你能赢的了我吗?,Hey! You have a Pikachu!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0308,MAIN:0x038C6C,Dialogue en jeu,0x038C6C,531,dialogue_19_19,,"T'es fort, toi !",捉虫少年:你果然很强!,"I looked, but I cannot find one.",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0309,MAIN:0x038C8D,Dialogue en jeu,0x038C8D,538,dialogue_19_19,,Impossible...,捉虫少年:不可能...,No! Caterpie can't cut it!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0310,MAIN:0x038CA8,Dialogue en jeu,0x038CA8,544,dialogue_19_19,,"Toi aussi, t'es
Dresseur ? Alors,
battons-nous !","捉虫少年:你也是训练师吧,让我们来较量一下!","Hey,wait up! What'sthe Hurry?",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0311,MAIN:0x038CC6,Dialogue en jeu,0x038CC6,549,dialogue_19_19,,Tu es vraiment fort...,捉虫少年:你真厉害...,You're very good!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0312,MAIN:0x038CD8,Dialogue en jeu,0x038CD8,554,dialogue_19_19,,Ne te défile pas ! Viens te battre !,"捉虫少年:不要逃避,来吧!",Hey!You scared the bugs away!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0313,MAIN:0x038CF6,Dialogue en jeu,0x038CF6,555,dialogue_19_19,,J'ai perdu.,捉虫少年:我输了,I'm looking for a Weedle.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0314,MAIN:0x038D11,Dialogue en jeu,0x038D11,560,dialogue_19_19,,"Tu refuses donc
de nous suivre...",绅士:不想加入吗...,You're very good!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0315,MAIN:0x038D23,Dialogue en jeu,0x038D23,6544,dialogue_19_19,,"De grands Dresseurs t'attendent. Sans Badge, passage interdit.","守卫:这扇门之后都是一些强劲的精灵训练家们,你还未拿到徽章啊...当然无法让你通过啊",NON TRADUIT — texte chinois conservé dans la ROM anglaise,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0316,MAIN:0x038D7A,Dialogue en jeu,0x038D7A,597,dialogue_19_19,,"Tu es Dresseur ?
Pierre cherche
un adversaire.
Suis-moi !",男孩:你是精灵训练家吧?小刚正在找寻对手...来吧!,You're a trainer right? Follow me!,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0317,MAIN:0x038D9F,Dialogue en jeu,0x038D9F,602,dialogue_19_19,,"Si tu es prêt,
va défier Pierre !",男孩:你有战胜的自信的话就去挑战小刚吧!,Brock's looking forchallengers.,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0318,MAIN:0x038DBF,Dialogue en jeu,0x038DBF,608,dialogue_19_19,,"Hé, Champion !
Les Pokémon Sol
de Pierre ignorent
l'Électrik.
Dur pour Pikachu !","裁判:你要不要朝宠物精灵冠军试试啊?我虽不是训练家但我可给你一些意见,你的比卡丘想赢这道场满难的!小刚所使用的地面系精灵是不受电气攻击的影响!","Hey champ! Let me give you a tip. Brock uses Rock Pok@mon, Electric attacks are uselessagainst them!",high,adapté d'après Pokémon Jaune (FR),oui,oui,,
D0319,MAIN:0x038E2C,Dialogue en jeu,0x038E2C,614,dialogue_19_19,,"Défier Pierre ?
Tu es à dix mille
années-lumière !",侦察员:等等!小孩有什么事啊!找小刚挑战?一万光年以后吧!,Wait! You're light years away from facing Brock!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0320,MAIN:0x038E60,Dialogue en jeu,0x038E60,625,dialogue_19_19,,Tu es fort. Pierre l'est encore plus !,侦察员:你很厉害但比不上小刚,"Darn,Light years isdistance,not time!",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0321,MAIN:0x038E86,Dialogue en jeu,0x038E86,635,dialogue_19_19,PIERRE,"PIERRE : Je suis
Champion d'Argenta.
Mes Pokémon Roche
sont très solides !
Même si je perds,
je me battrai.
En garde !","小刚:你来了!我是尼比宠物精灵道馆的领袖小刚!我的坚硬石头也就是我的精灵!我所使用的精灵以石系居多!就算会输也要战斗,这就是训练家的宿命!来吧",I'm Brock!I believein strong defense and determination! Do you still wish to face me? Fine then! Show me your best!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0322,MAIN:0x038EFE,Dialogue en jeu,0x038EFE,655,dialogue_19_19,PIERRE,PIERRE : Bravo ! Voici le Badge Roche !,"小刚:哈哈,真厉害呢我给你宠物精灵联盟公认的灰色徽章!","I took you for granted.As proof ofyour victory,here'sthe BOULDERBADGE!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0323,MAIN:0x038F49,Dialogue en jeu,0x038F49,661,dialogue_19_19,,Badge Roche reçu !,得到灰色徽章,"You can now use theHM Flash! Here,takethis with you too.",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0324,MAIN:0x038F82,Dialogue en jeu,0x038F82,662,dialogue_19_19,PIERRE,PIERRE : Ce Badge renforce tes Pokémon. Flash marche hors combat. Tiens !,"小刚:有了灰色徽章你的精灵都将变强,持有闪光特技的精灵就算不战斗也能使用闪光!还有这个给你!",Recieved TM35!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0325,MAIN:0x038F91,Dialogue en jeu,0x038F91,669,dialogue_19_19,,CT35 reçue !,得到技能机器34!,It contains Harden.This raises your Pokemon's defense.,high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0326,MAIN:0x038FCA,Dialogue en jeu,0x038FCA,676,dialogue_19_19,PIERRE,"PIERRE : Chaque CT
sert une fois.
Choisis bien !
CT35 : Armure
monte la Défense.","小刚:使用技能机器时精灵将马上记住特技,但特技就将丢弃!要让哪个精灵学习最好想清楚.特技35是变硬...被攻击时一直变硬...提升防御力!是一个有趣的特技!",A TM can only be used once.So choosewho you use it on carefully.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0327,MAIN:0x03900E,Dialogue en jeu,0x03900E,698,dialogue_19_19,PIERRE,"PIERRE : Élevage ou combat, chacun sa voie. Pour progresser, va défier l'Arène d'Azuria !","小刚:在这世上什么人都有,有人养精灵有人利用精灵战斗,在这有训练宠物精灵养成的修行!如果你以训练家为目标的话你该去华蓝市的道场试试!",You seem to be verygifted as a trainer.Go to the GYM in Cerulean andtest your strength.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0328,MAIN:0x03906E,Dialogue en jeu,0x03906E,708,dialogue_19_19,,Je le savais ! Tu as l'étoffe d'un Champion !,裁判:真不愧是强手!就是这样一来朝宠物精灵联盟冠军前进!,"Just as I thought, you're Champion Material!",high,adapté d'après les dialogues officiels R/B/J (FR),oui,oui,,
D0329,MAIN:0x03909E,Dialogue en jeu,0x03909E,719,dialogue_19_19,,Hé ! Tu me fixais ?,迷你裙:那边的人!你刚在看我吧!,"You looked at me, didn't you?",high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0330,MAIN:0x0390BD,Dialogue en jeu,0x0390BD,720,dialogue_19_19,,"Arrête de fixer,
ou je te frappe !",迷你裙:算了...不过你再继续看的话我会打人的喔!,You're mean!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0331,MAIN:0x0390CA,Dialogue en jeu,0x0390CA,730,dialogue_19_19,,"Hé ! On s'est vus
dans la Forêt
de Jade !",捉虫少年:你不是在常青森林遇到的家伙吗?,Hey! I met you in Viridian Forest!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0332,MAIN:0x0390EE,Dialogue en jeu,0x0390EE,735,dialogue_19_19,,"Ici, les Pokémon
diffèrent de ceux
de la forêt.",捉虫少年:在这附近可以抓到和森林不一样的精灵!,You beat me again!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0333,MAIN:0x039101,Dialogue en jeu,0x039101,742,dialogue_19_19,,"Les shorts, c'est
pratique ! Essaie !",谈判小子:穿短裤活动方便很好啊!你要不要穿穿看?,Are you a Pok@mon Trainer too?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0334,MAIN:0x039121,Dialogue en jeu,0x039121,748,dialogue_19_19,,"Après six Pokémon, les suivants sont envoyés au PC.",谈判小子:你有用电脑通信吗?捕抓到的妖怪超过六个会自动记录到电脑中,Are you storing Pok@mon on the PC?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0335,MAIN:0x039147,Dialogue en jeu,0x039147,757,dialogue_19_19,,"Tu es Dresseur ?
Alors, en garde !",捉虫少年:你是训练家?那就立刻跟我比一下!,You can fight my new Pok@mon!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0336,MAIN:0x039167,Dialogue en jeu,0x039167,763,dialogue_19_19,,Quelle blague...,捉虫少年:还真是搞笑...,Trained Pok@mon arestronger than wild ones.,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0337,MAIN:0x039193,Dialogue en jeu,0x039193,566,dialogue_19_19,,Hé ! Pas de short ?,谈判小子:什么嘛!没有穿短裤嘛,Hey! You're don't have shorts,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0338,MAIN:0x0391B2,Dialogue en jeu,0x0391B2,571,dialogue_19_19,,Encore perdu...,谈判小子:输了输了...,Even in winter I wear shorts!,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
D0339,MAIN:0x0391D2,Dialogue en jeu,0x0391D2,576,dialogue_19_19,,"Ma nouvelle prise
va t'affronter !",捉虫少年:用刚抓到的宠物精灵跟我打吧!,Do you like bug Pok@mon?,high,corrigé d'après le chinois + naturalisé en français,oui,oui,,
