pointer_reference_hex,chinese_target_hex,chinese_record_index,chinese_text,english_target_hex,english_entry_index,english_offset_hex,english_storage,english_text,fidelity_status,review_note
0x031059,0x0313E7,448,"
飞天术",0x0313D8,258,0x0313D8,ascii,Fly,pending_semantic_review,
0x03105B,0x0313EF,449,"
钻孔啄",0x0313DC,259,0x0313DC,graphical_codes,<B339><B33B><B33D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03105D,0x0313F7,450,"
飞跃",0x0313E3,260,0x0313E3,ascii,Bounce,pending_semantic_review,
0x03105F,0x0313FD,451,"
空中爆破",0x0313EA,261,0x0313EA,graphical_codes,<B33F><B341><B343>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031061,0x031407,452,"
神鸟",0x0313F1,262,0x0313F1,graphical_codes,<B345><B347><B349>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031063,0x03140D,453,"
念力",0x0313F8,263,0x0313F8,graphical_codes,<B591><B593><B595>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031065,0x031413,454,"
精神光线",0x031402,264,0x031402,ascii,Psy Beam,pending_semantic_review,
0x031067,0x03141D,455,"
迷雾球",0x03140B,265,0x03140B,graphical_codes,<B597><B599>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031069,0x031425,456,"
神通力",0x031415,266,0x031415,graphical_codes,<B59B><B59D><B59F>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03106B,0x03142D,457,"
预知未来",0x03141F,267,0x03141F,graphical_codes,<B34B><B34D><B34F><B351>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03106D,0x031437,458,"
精神波动",0x031428,268,0x031428,ascii,Psychic,pending_semantic_review,
0x03106F,0x031441,459,"
食梦",0x031430,269,0x031430,graphical_codes,<B353><B355><B357>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031071,0x031447,460,"
精神增压",0x031437,270,0x031437,graphical_codes,<B7E5><B7E7><B7E9>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031073,0x031451,461,"
催眠术",0x031441,271,0x031441,ascii,Hypnosis,pending_semantic_review,
0x031075,0x031459,462,"
睡眠",0x03144A,272,0x03144A,ascii,Rest,pending_semantic_review,
0x031077,0x03145F,463,"
瞬间移动",0x03144F,273,0x03144F,ascii,Teleport,pending_semantic_review,
0x031079,0x031469,464,"
瞑想",0x031458,274,0x031458,graphical_codes,<B7EB><B7ED>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03107B,0x03146F,465,"
高速移动",0x031462,276,0x031462,ascii,Agility,pending_semantic_review,
0x03107D,0x031479,466,"
舌头舔",0x03146A,277,0x03146A,ascii,Lick,pending_semantic_review,
0x03107F,0x031481,467,"
惊吓",0x03146F,278,0x03146F,ascii,Astonish,pending_semantic_review,
0x031081,0x031487,468,"
暗影拳",0x031478,279,0x031478,graphical_codes,<B359><B35B><B35D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031083,0x03148F,469,"
影子球",0x03147F,280,0x03147F,graphical_codes,<B401><B403><B405>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031085,0x031497,470,"
恶梦",0x031486,281,0x031486,graphical_codes,<B407><B409><B40B>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031087,0x03149D,471,"
怪异光",0x03148D,282,0x03148D,graphical_codes,<B40D><B40F><B411><B413>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031089,0x0314A5,472,"
龙卷",0x031496,283,0x031496,ascii,Twister,pending_semantic_review,
0x03108B,0x0314AB,473,"
龙之怒",0x03149E,284,0x03149E,graphical_codes,<B415><B417><B419>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03108D,0x0314B3,474,"
龙之息吹",0x0314A5,285,0x0314A5,graphical_codes,<B41B><B41D><B41F>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03108F,0x0314BD,475,"
龙之爪",0x0314AC,286,0x0314AC,graphical_codes,<B421><B423><B425>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031091,0x0314C5,476,"
激鳞",0x0314B3,287,0x0314B3,graphical_codes,<B427><B429><B42B>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031093,0x0314CB,477,"
龙之舞",0x0314BA,288,0x0314BA,graphical_codes,<B42D><B42F><B431>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031095,0x0314D3,478,"
打落",0x0314C1,289,0x0314C1,graphical_codes,<B7EF><B7F1><B7F3>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031097,0x0314D9,479,"
追击",0x0314CB,290,0x0314CB,graphical_codes,<B433><B435><B437>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x031099,0x0314DF,480,"
齿突",0x0314D2,291,0x0314D2,ascii,Bite,pending_semantic_review,
0x03109B,0x0314E5,481,"
咬碎",0x0314D7,292,0x0314D7,ascii,Crunch,pending_semantic_review,
0x03109D,0x0314EB,482,"
钢之爪",0x0314DE,293,0x0314DE,graphical_codes,<B439><B43B><B43D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x03109F,0x0314F3,483,"
钢之翼",0x0314E5,294,0x0314E5,graphical_codes,<B43F><B441><B443>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310A1,0x0314FB,484,"
钢之尾",0x0314EC,295,0x0314EC,graphical_codes,<B7F5><B7F7>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310A3,0x031503,485,"
慧星拳",0x0314F6,297,0x0314F6,graphical_codes,<B445><B447><B449>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310A5,0x03150B,486,"
铁壁",0x0314FD,298,0x0314FD,graphical_codes,<B44B><B44D><B44F><B451>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310A7,0x031511,487,"
跳跃",0x031506,299,0x031506,ascii,Splash,pending_semantic_review,
0x0310A9,0x031517,488,"
音速波",0x03150D,300,0x03150D,graphical_codes,<B453><B455><B457>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310AB,0x03151F,489,"
撞击",0x031514,301,0x031514,ascii,Tackle,pending_semantic_review,
0x0310AD,0x031525,490,"
刀背打",0x03151B,302,0x03151B,ascii,Scratch,pending_semantic_review,
0x0310AF,0x03152D,491,"
抓",0x031523,303,0x031523,ascii,Pound,pending_semantic_review,
0x0310B1,0x031531,492,"
电光石火",0x031529,304,0x031529,graphical_codes,<B459><B45B><B45D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310B3,0x03153B,493,"
招财猫",0x031530,305,0x031530,ascii,Pay Day,pending_semantic_review,
0x0310B5,0x031543,494,"
鼾声",0x031538,306,0x031538,ascii,Fake Out,pending_semantic_review,
0x0310B7,0x031549,495,"
居合斩",0x031541,307,0x031541,ascii,Cut,pending_semantic_review,
0x0310B9,0x031551,496,"
流星",0x031545,308,0x031545,ascii,Swift,pending_semantic_review,
0x0310BB,0x031557,497,"
角突",0x03154B,309,0x03154B,ascii,Stomp,pending_semantic_review,
0x0310BD,0x03155D,498,"
崩击之爪",0x031551,310,0x031551,graphical_codes,<B501><B503><B505>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310BF,0x031567,499,"
秘密力量",0x031558,311,0x031558,graphical_codes,<B507><B509><B50B>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310C1,0x031571,500,"
必杀门牙",0x03155F,312,0x03155F,graphical_codes,<B50D><B50F><B511>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310C3,0x03157B,501,"
三角攻击",0x031566,313,0x031566,graphical_codes,<B513><B515><B517>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310C5,0x031585,502,"
舍身一击",0x03156D,314,0x03156D,graphical_codes,<B519><B51B><B51D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310C7,0x03158F,503,"
破坏光线",0x031574,315,0x031574,graphical_codes,<B51F><B521><B523>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310C9,0x031599,504,"
自爆",0x03157B,316,0x03157B,graphical_codes,<B525><B527><B529><B52B>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310CB,0x03159F,505,"
大爆炸",0x031584,317,0x031584,ascii,Explode,pending_semantic_review,
0x0310CD,0x0315A7,506,"
尖角钻",0x03158C,318,0x03158C,graphical_codes,<B52D><B52F><B531><B533>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310CF,0x0315AF,507,"
剪刀断头",0x031595,319,0x031595,graphical_codes,<B535><B537><B539>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310D1,0x0315B9,508,"
歌唱",0x03159C,320,0x03159C,ascii,Sing,pending_semantic_review,
0x0310D3,0x0315BF,509,"
恶魔之吻",0x0315A1,321,0x0315A1,graphical_codes,<B7F9><B7FB>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310D5,0x0315C9,510,"
超音波",0x0315AB,323,0x0315AB,graphical_codes,<B53B><B53D><B53F>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310D7,0x0315D1,511,"
剑舞",0x0315B2,324,0x0315B2,graphical_codes,<B541><B543><B545>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310D9,0x0315D7,512,"
叫声",0x0315B9,325,0x0315B9,ascii,Growl,pending_semantic_review,
0x0310DB,0x0315DD,513,"
撒娇",0x0315BF,326,0x0315BF,ascii,Bulk-up,pending_semantic_review,
0x0310DD,0x0315E3,514,"
变圆",0x0315C7,327,0x0315C7,graphical_codes,<B547><B549><B54B><B54D>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310DF,0x0315E9,515,"
变硬",0x0315D0,328,0x0315D0,ascii,Harden,pending_semantic_review,
0x0310E1,0x0315EF,516,"
摇尾巴",0x0315D7,329,0x0315D7,graphical_codes,<B7FD><B7FF>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310E3,0x0315F7,517,"
挠痒",0x0315E1,331,0x0315E1,ascii,Charm,pending_semantic_review,
0x0310E5,0x0315FD,518,"
烟幕",0x0315E7,332,0x0315E7,graphical_codes,<B54F><B551><B553>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310E7,0x031603,519,"
闪光",0x0315EE,,,,,unresolved_alignment,
0x0310E9,0x031609,520,"
影分身",0x0315F4,333,0x0315F4,graphical_codes,<B555><B557><B559>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310EB,0x031611,521,"
自我再生",0x0315FB,334,0x0315FB,ascii,Recover,pending_semantic_review,
0x0310ED,0x03161B,522,"
鼓掌",0x031603,,,,,unresolved_alignment,
0x0310EF,0x031621,523,"
吼叫",0x03160A,335,0x03160A,ascii,Roar,pending_semantic_review,
0x0310F1,0x031627,524,"
吹飞",0x03160F,336,0x03160F,graphical_codes,<B701><B703><B705>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0310F3,0x03162D,525,"
变身",0x031619,337,0x031619,ascii,??????????,pending_semantic_review,
0x0310F5,0x031633,526,"
诅咒",0x031624,338,0x031624,ascii,Counter,pending_semantic_review,
0x0310F7,0x031639,527,"
怪力术",0x03162C,339,0x03162C,ascii,Strength,pending_semantic_review,
0x03164B,0x0316ED,528,"
精灵球",0x035F34,879,0x035F34,ascii,Pok@ball,pending_semantic_review,
0x03164D,0x0316F5,529,"
超级球",0x0316EE,342,0x0316EE,ascii,Grt Ball,pending_semantic_review,
0x03164F,0x0316FD,530,"
超力球",0x0316F7,343,0x0316F7,ascii,UltaBall,pending_semantic_review,
0x031651,0x031705,531,"
大师球",0x031700,344,0x031700,ascii,MstrBall,pending_semantic_review,
0x031653,0x03170D,532,"
伤药",0x031709,345,0x031709,ascii,Potion,pending_semantic_review,
0x031655,0x031713,533,"
好伤药",0x031710,346,0x031710,ascii,S.Potion,pending_semantic_review,
0x031657,0x03171B,534,"
超级伤药",0x031719,347,0x031719,ascii,H.Potion,pending_semantic_review,
0x031659,0x031725,535,"
最大伤药",0x031722,348,0x031722,ascii,M.Potion,pending_semantic_review,
0x03165B,0x03172F,536,"
解毒药",0x03172E,,,,,unresolved_alignment,
0x03165D,0x031737,537,"
解麻药",0x031737,349,0x031737,ascii,P.Heal,pending_semantic_review,
0x03165F,0x03173F,538,"
睡醒药",0x03173F,350,0x03173E,ascii,S.Heal,pending_semantic_review,
0x031661,0x031747,539,"
冰冻药",0x031746,351,0x031746,ascii,Ice Heal,pending_semantic_review,
0x031663,0x03174F,540,"
烧伤药",0x03174F,352,0x03174F,ascii,BurnHeal,pending_semantic_review,
0x031665,0x031757,541,"
万能恢复",0x031758,353,0x031758,ascii,FullHeal,pending_semantic_review,
0x031667,0x031761,542,"
精神药",0x031761,354,0x031761,ascii,Revive,pending_semantic_review,
0x031669,0x031769,543,"
PP提升",0x031769,355,0x031769,ascii,Ether,pending_semantic_review,
0x03166B,0x031771,544,"
PP最大",0x03176F,356,0x03176F,ascii,MaxEther,pending_semantic_review,
0x03166D,0x031779,545,"
神奇糖果",0x031779,357,0x031779,ascii,RareCndy,pending_semantic_review,
0x03166F,0x031783,546,"
火之石",0x031782,358,0x031782,ascii,FireSton,pending_semantic_review,
0x031671,0x03178B,547,"
水之石",0x03178B,359,0x03178B,ascii,WatrSton,pending_semantic_review,
0x031673,0x031793,548,"
雷之石",0x031794,360,0x031794,ascii,ThunSton,pending_semantic_review,
0x031675,0x03179B,549,"
叶之石",0x030F8E,157,0x030F8E,ascii,LeafSton,pending_semantic_review,
0x031677,0x0317A3,550,"
月之石",0x03179D,361,0x03179D,ascii,MoonSton,pending_semantic_review,
0x031679,0x0317AB,551,"
包裹",0x0317A6,362,0x0317A6,ascii,Parcel,pending_semantic_review,
0x03167B,0x0317B1,552,"
精灵图鉴",0x0317AD,,,,,unresolved_alignment,
0x03167D,0x0317BB,553,"
地图",0x0317B5,363,0x0317B5,ascii,Map,pending_semantic_review,
0x03167F,0x0317C1,554,"
菊石化石",0x0317B9,364,0x0317B9,ascii,HelixFosil,pending_semantic_review,
0x031681,0x0317CB,555,"
盔甲化石",0x0317C4,365,0x0317C4,ascii,DomeFossil,pending_semantic_review,
0x031683,0x0317D5,556,"
船票",0x0317CF,366,0x0317CF,ascii,S.S.Ticket,pending_semantic_review,
0x031685,0x0317DB,557,"
矿泉水",0x0317DA,367,0x0317DA,ascii,Lemonade,pending_semantic_review,
0x031687,0x0317E3,558,"
精灵眼镜",0x0317E3,368,0x0317E3,ascii,SilphScope,pending_semantic_review,
0x031689,0x0317ED,559,"
精灵笛",0x0317EE,369,0x0317EE,ascii,Pok@Flute,pending_semantic_review,
0x03168B,0x0317F5,560,"
金牙",0x0317F8,370,0x0317F8,ascii,Gold Teeth,pending_semantic_review,
0x03168D,0x0317FB,561,"
梦幻船票",0x030F83,156,0x030F83,ascii,Secret Key,pending_semantic_review,
0x03168F,0x031805,562,"
居合斩",0x031805,371,0x031803,ascii,Cut HM,pending_semantic_review,
0x031691,0x03180D,563,"
飞天术",0x03180D,372,0x03180D,ascii,Fly HM,pending_semantic_review,
0x031693,0x031815,564,"
冲浪术",0x031815,373,0x031815,ascii,Surf HM,pending_semantic_review,
0x031695,0x03181D,565,"
怪力术",0x03181D,374,0x03181D,ascii,STR HM,pending_semantic_review,
0x031697,0x031825,566,"
闪光术",0x031824,375,0x031824,ascii,Flash HM,pending_semantic_review,
0x031699,0x03182D,567,"
秘传01",0x03182D,376,0x03182D,ascii,TM 01,pending_semantic_review,
0x03169B,0x031835,568,"
秘传02",0x031835,377,0x031835,ascii,TM 02,pending_semantic_review,
0x03169D,0x03183D,569,"
秘传03",0x03183D,378,0x03183D,ascii,TM 03,pending_semantic_review,
0x03169F,0x031845,570,"
秘传04",0x031845,379,0x031845,ascii,TM 04,pending_semantic_review,
0x0316A1,0x03184D,571,"
秘传05",0x03184D,380,0x03184D,ascii,TM 05,pending_semantic_review,
0x0316A3,0x031855,572,"
秘传06",0x031855,381,0x031855,ascii,TM 06,pending_semantic_review,
0x0316A5,0x03185D,573,"
秘传07",0x03185D,382,0x03185D,ascii,TM 07,pending_semantic_review,
0x0316A7,0x031865,574,"
秘传08",0x031865,383,0x031865,ascii,TM 08,pending_semantic_review,
0x0316A9,0x03186D,575,"
秘传09",0x03186D,384,0x03186D,ascii,TM 09,pending_semantic_review,
0x0316AB,0x031875,576,"
秘传10",0x031875,385,0x031875,ascii,TM 10,pending_semantic_review,
0x0316AD,0x03187D,577,"
秘传11",0x03187D,386,0x03187D,ascii,TM 11,pending_semantic_review,
0x0316AF,0x031885,578,"
秘传12",0x031885,387,0x031885,ascii,TM 12,pending_semantic_review,
0x0316B1,0x03188D,579,"
秘传13",0x03188D,388,0x03188D,ascii,TM 13,pending_semantic_review,
0x0316B3,0x031895,580,"
秘传14",0x031895,389,0x031895,ascii,TM 14,pending_semantic_review,
0x0316B5,0x03189D,581,"
秘传15",0x03189D,390,0x03189D,ascii,TM 15,pending_semantic_review,
0x0316B7,0x0318A5,582,"
秘传16",0x0318A5,391,0x0318A5,ascii,TM 16,pending_semantic_review,
0x0316B9,0x0318AD,583,"
秘传17",0x0318AD,392,0x0318AD,ascii,TM 17,pending_semantic_review,
0x0316BB,0x0318B5,584,"
秘传18",0x0318B5,393,0x0318B5,ascii,TM 18,pending_semantic_review,
0x0316BD,0x0318BD,585,"
秘传19",0x0318BD,394,0x0318BD,ascii,TM 19,pending_semantic_review,
0x0316BF,0x0318C5,586,"
秘传20",0x0318C5,395,0x0318C5,ascii,TM 20,pending_semantic_review,
0x0316C1,0x0318CD,587,"
秘传21",0x0318CD,396,0x0318CD,ascii,TM 21,pending_semantic_review,
0x0316C3,0x0318D5,588,"
秘传22",0x0318D5,397,0x0318D5,ascii,TM 22,pending_semantic_review,
0x0316C5,0x0318DD,589,"
秘传23",0x0318DD,398,0x0318DD,ascii,TM 23,pending_semantic_review,
0x0316C7,0x0318E5,590,"
秘传24",0x0318E5,399,0x0318E5,ascii,TM 24,pending_semantic_review,
0x0316C9,0x0318ED,591,"
秘传25",0x0318ED,400,0x0318ED,ascii,TM 25,pending_semantic_review,
0x0316CB,0x0318F5,592,"
秘传26",0x0318F5,401,0x0318F5,ascii,TM 26,pending_semantic_review,
0x0316CD,0x0318FD,593,"
秘传27",0x0318FD,402,0x0318FD,ascii,TM 27,pending_semantic_review,
0x0316CF,0x031905,594,"
秘传28",0x031905,403,0x031905,ascii,TM 28,pending_semantic_review,
0x0316D1,0x03190D,595,"
秘传29",0x03190D,404,0x03190D,ascii,TM 29,pending_semantic_review,
0x0316D3,0x031915,596,"
秘传30",0x031915,405,0x031915,ascii,TM 30,pending_semantic_review,
0x0316D5,0x03191D,597,"
秘传31",0x03191D,406,0x03191D,ascii,TM 31,pending_semantic_review,
0x0316D7,0x031925,598,"
秘传32",0x031925,407,0x031925,ascii,TM 32,pending_semantic_review,
0x0316D9,0x03192D,599,"
秘传33",0x03192D,408,0x03192D,ascii,TM 33,pending_semantic_review,
0x0316DB,0x031935,600,"
秘传34",0x031935,409,0x031935,ascii,TM 34,pending_semantic_review,
0x0316DD,0x03193D,601,"
秘传35",0x03193D,410,0x03193D,ascii,TM 35,pending_semantic_review,
0x0316DF,0x031945,602,"
秘传36",0x031945,411,0x031945,ascii,TM 36,pending_semantic_review,
0x0316E1,0x03194D,603,"
秘传37",0x03194D,412,0x03194D,ascii,TM 37,pending_semantic_review,
0x0316E3,0x031955,604,"
秘传38",0x031955,413,0x031955,ascii,TM 38,pending_semantic_review,
0x0316E5,0x03195D,605,"
秘传39",0x03195D,414,0x03195D,ascii,TM 39,pending_semantic_review,
0x0316E7,0x031965,606,"
秘传40",0x031965,415,0x031965,ascii,TM 40,pending_semantic_review,
0x031971,0x031A19,607,"
可以捕捉精灵的球",0x031A15,417,0x031A15,ascii,Catch Pok@mon,pending_semantic_review,
0x031973,0x031A2B,608,"
比精灵球效果要好的球",0x031A15,417,0x031A15,ascii,Catch Pok@mon,pending_semantic_review,
0x031975,0x031A41,609,"
比超级球效果要好的球",0x031A15,417,0x031A15,ascii,Catch Pok@mon,pending_semantic_review,
0x031977,0x031A57,610,"
一定能捉住精灵的球",0x031A24,418,0x031A24,ascii,Catch Pok@mon100%,pending_semantic_review,
0x031979,0x031A6B,611,"
体力恢复20点",0x031A6B,421,0x031A5D,ascii,Restore20 HP,pending_semantic_review,
0x03197B,0x031A79,612,"
体力恢复50点",0x031A79,422,0x031A78,ascii,Restore50 HP,pending_semantic_review,
0x03197D,0x031A87,613,"
体力恢复200点",0x031A87,423,0x031A86,ascii,Restore200 HP,pending_semantic_review,
0x03197F,0x031A96,614,"
体力完全恢复",0x031A96,424,0x031A95,ascii,RestoreAll HP,pending_semantic_review,
0x031981,0x031AA4,615,"
解除中毒状态",0x031AA4,425,0x031AA4,ascii,Cures Poison,pending_semantic_review,
0x031983,0x031AB2,616,"
解除麻痹状态",0x031AB2,426,0x031AB2,ascii,Cures Paralyz,pending_semantic_review,
0x031985,0x031AC0,617,"
解除沉睡状态",0x031AC1,427,0x031AC1,ascii,Cures sleep,pending_semantic_review,
0x031987,0x031ACE,618,"
解除冰冻状态",0x031ACE,428,0x031ACE,ascii,Cures Freeze,pending_semantic_review,
0x031989,0x031ADC,619,"
解除烧伤状态",0x031ADC,429,0x031ADC,ascii,Cures Burn,pending_semantic_review,
0x03198B,0x031AEA,620,"
恢复所有异常状态",0x031AEA,430,0x031AE8,ascii,Heal PKMN Status,pending_semantic_review,
0x03198D,0x031AFC,621,"
从临死状态恢复体力一半",0x031AFF,431,0x031AFF,ascii,Revive Pok@mon,pending_semantic_review,
0x03198F,0x031B14,622,"
精灵的一项PP值恢复10点",0x031B14,432,0x031B0E,ascii,Restore10PP to1 Move,pending_semantic_review,
0x031991,0x031B2C,623,"
精灵的一项PP值全恢复",0x031B2C,433,0x031B29,ascii,RestoreAll PP 1 Move,pending_semantic_review,
0x031993,0x031B42,624,"
提升精灵等级一级",0x031B42,434,0x031B42,ascii,Pok@monLevelUp1LV,pending_semantic_review,
0x031995,0x031B54,625,"
让特定的精灵进化",0x031A37,419,0x031A37,ascii,Evolve Fire PKMN,pending_semantic_review,
0x031997,0x031B66,626,"
让特定的精灵进化",0x031A4A,420,0x031A4A,ascii,Evolve Water PKMN,pending_semantic_review,
0x031999,0x031B78,627,"
让特定的精灵进化",0x031B54,435,0x031B54,ascii,Evolve ThunderPKMN,pending_semantic_review,
0x03199B,0x031B8A,628,"
让特定的精灵进化",0x031B67,436,0x031B67,ascii,Evolve Grass PKMN,pending_semantic_review,
0x03199D,0x031B9C,629,"
让特定的精灵进化",0x031B7A,437,0x031B7A,ascii,Evolve Normal PKMN,pending_semantic_review,
0x03199F,0x031BAE,630,"
大木博士的包裹",0x031BAE,440,0x031BAB,ascii,Oak's Parcel,pending_semantic_review,
0x0319A1,0x031BBE,631,"
可以查看精灵的资料",0x031B8D,438,0x031B8D,ascii,Pok@monData- Base,pending_semantic_review,
0x0319A3,0x031BD2,632,"
小茂姐姐给的地图",0x031BA0,439,0x031BA0,ascii,Town Map,pending_semantic_review,
0x0319A5,0x031BE4,633,"
古代精灵的化石",0x031BBC,441,0x031BBC,ascii,Pok@monFossil,pending_semantic_review,
0x0319A7,0x031BF4,634,"
古代精灵的化石",0x031BBC,441,0x031BBC,ascii,Pok@monFossil,pending_semantic_review,
0x0319A9,0x031C04,635,"
马沙给的铁达尼号船票",0x031BCA,442,0x031BCA,ascii,Ticket for theSS Anne,pending_semantic_review,
0x0319AB,0x031C1A,636,"
彩虹商店幸运顾客纪念",0x031BE0,443,0x031BE0,ascii,Lemonad,pending_semantic_review,
0x0319AD,0x031C30,637,"
能看见一切灵异现象的眼镜",0x031BE8,444,0x031BE8,ascii,Lets you seeGhosts,pending_semantic_review,
0x0319AF,0x031C4A,638,"
就算是熟睡的精灵也会跳起",0x031BFD,445,0x031BFD,ascii,Wake Asleep Pok@mon,pending_semantic_review,
0x0319B1,0x031C64,639,"
浅红市园长的假牙",0x031C13,446,0x031C13,ascii,SomeoneGold Teeth,pending_semantic_review,
0x0319B3,0x031C76,640,"
梦幻神奇之旅的船票",0x031C27,447,0x031C27,ascii,CinibarGym Key,pending_semantic_review,
0x0319B5,0x031C8A,641,"
居合斩",0x031C8A,457,0x031C87,graphical_codes,000<B1A9><B1AA><B1AB>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0319B7,0x031C92,642,"
飞天术",0x031C92,458,0x031C91,graphical_codes,<0A><B1AC><B1AD><B1AE>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0319B9,0x031C9A,643,"
冲浪术",0x031C9A,459,0x031C99,graphical_codes,<0A><B1AF><B1B0><B1AE>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0319BB,0x031CA2,644,"
怪力术",0x031CA2,460,0x031CA1,graphical_codes,<0A><B0CA><B0E3><B1AE>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0319BD,0x031CAA,645,"
闪光术",0x031CAA,461,0x031CA9,graphical_codes,<0A><B4BE><B0E4><B1AE>,english_graphical_residual,La cible anglaise conserve des codes graphiques.
0x0319BF,0x031CB2,646,"
秘传01",0x031CB2,462,0x031CB2,ascii,TM 01,pending_semantic_review,
0x0319C1,0x031CBA,647,"
秘传02",0x031CBA,463,0x031CBA,ascii,TM 02,pending_semantic_review,
0x0319C3,0x031CC2,648,"
秘传03",0x031CC2,464,0x031CC2,ascii,TM 03,pending_semantic_review,
0x0319C5,0x031CCA,649,"
秘传04",0x031CCA,465,0x031CCA,ascii,TM 04,pending_semantic_review,
0x0319C7,0x031CD2,650,"
秘传05",0x031CD2,466,0x031CD2,ascii,TM 05,pending_semantic_review,
0x0319C9,0x031CDA,651,"
秘传06",0x031CDA,467,0x031CDA,ascii,TM 06,pending_semantic_review,
0x0319CB,0x031CE2,652,"
秘传07",0x031CE2,468,0x031CE2,ascii,TM 07,pending_semantic_review,
0x0319CD,0x031CEA,653,"
秘传08",0x031CEA,469,0x031CEA,ascii,TM 08,pending_semantic_review,
0x0319CF,0x031CF2,654,"
秘传09",0x031CF2,470,0x031CF2,ascii,TM 09,pending_semantic_review,
0x0319D1,0x031CFA,655,"
秘传10",0x031CFA,471,0x031CFA,ascii,TM 10,pending_semantic_review,
0x0319D3,0x031D02,656,"
秘传11",0x031D02,472,0x031D02,ascii,TM 11,pending_semantic_review,
0x0319D5,0x031D0A,657,"
秘传12",0x031D0A,473,0x031D0A,ascii,TM 12,pending_semantic_review,
0x0319D7,0x031D12,658,"
秘传13",0x031D12,474,0x031D12,ascii,TM 13,pending_semantic_review,
0x0319D9,0x031D1A,659,"
秘传14",0x031D1A,475,0x031D1A,ascii,TM 14,pending_semantic_review,
0x0319DB,0x031D22,660,"
秘传15",0x031D22,476,0x031D22,ascii,TM 15,pending_semantic_review,
0x0319DD,0x031D2A,661,"
秘传16",0x031D2A,477,0x031D2A,ascii,TM 16,pending_semantic_review,
0x0319DF,0x031D32,662,"
秘传17",0x031D32,478,0x031D32,ascii,TM 17,pending_semantic_review,
0x0319E1,0x031D3A,663,"
秘传18",0x031D3A,479,0x031D3A,ascii,TM 18,pending_semantic_review,
0x0319E3,0x031D42,664,"
秘传19",0x031D42,480,0x031D42,ascii,TM 19,pending_semantic_review,
0x0319E5,0x031D4A,665,"
秘传20",0x031D4A,481,0x031D4A,ascii,TM 20,pending_semantic_review,
0x0319E7,0x031D52,666,"
秘传21",0x031D52,482,0x031D52,ascii,TM 21,pending_semantic_review,
0x0319E9,0x031D5A,667,"
秘传22",0x031D5A,483,0x031D5A,ascii,TM 22,pending_semantic_review,
