stable_key,record_type,entry_index,dialogue_id,category,source_offset_or_pointer,script_line,pointer_references,selected_pointer_references,layout,speaker,chinese_record_indexes,chinese_offsets,chinese_text,english_2015_storage,english_2015,french_v2_gloss,english_v2,editorial_origin,alignment_method,alignment_confidence,source_resolution,review_status,encoded_length,source_capacity_bytes,compression,compression_justification,fidelity_comment,secondary_french_provenance,multi_source_mode,pointer_variant_count,storage_overlap_group,storage_overlap_role
MAIN:0x0312FC,MAIN,227,,Ordinary text,0x0312FC,5616,,0x03101B,,,417,0x03130A,萤火,ascii,Glow,Halo,Glow,translated_directly_from_reviewed_chinese_source_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,4,4,yes,Fixed four-byte move-name cell; Glow directly preserves the Chinese firefly-light concept.,"The adjudicated move is Tail Glow, whose Chinese name refers to a firefly glow; the fixed four-byte cell retains Glow.",French v2 secondary gloss only,,,,
MAIN:0x031301,MAIN,228,,Ordinary text,0x031301,5944,0x03101D,0x03101D,,,418,0x031310,吐丝,graphical_codes,<B165><B167><B169>,Sécrétion,StrngSht,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese silk-spitting label directly identifies String Shot. The executable eight-character battle cell displays StrngSht for the full move name String Shot.,French v2 secondary gloss only,,,,
MAIN:0x031308,MAIN,229,,Ordinary text,0x031308,5945,0x03101F,0x03101F,,,419,0x031316,毒针,graphical_codes,0000<B16F><B171><B173>,0000Dard-Venin,PsnSting,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,10,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,Uses the official move name for the Chinese poison-needle label; apparent legacy leading padding is not semantic text. The executable eight-character battle cell displays PsnSting for the full move name Poison Sting.,French v2 secondary gloss only,,,,
MAIN:0x031313,MAIN,230,,Ordinary text,0x031313,5836,0x031021,0x031021,,,420,0x03131C,烟雾,ascii,Smog,Purédpois,Smog,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The Chinese smoke label and Poison-move neighborhood concord with Smog.,French v2 secondary gloss only,,,,
MAIN:0x031318,MAIN,231,,Ordinary text,0x031318,5837,0x031023,0x031023,,,421,0x031322,溶解液,ascii,Acid,Acide,Acid,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The Chinese dissolving-liquid label directly identifies Acid in this move slot.,French v2 secondary gloss only,,,,
MAIN:0x03131D,MAIN,232,,Ordinary text,0x03131D,5946,0x031025,0x031025,,,422,0x03132A,毒尾巴,graphical_codes,<B175><B177><B179>,Queue-Poison,PsnTail,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese poison-tail label directly matches Poison Tail. The executable eight-character battle cell displays PsnTail for the full move name Poison Tail.,French v2 secondary gloss only,,,,
MAIN:0x031324,MAIN,233,,Ordinary text,0x031324,5947,0x031027,0x031027,,,423,0x031332,剧毒之牙,graphical_codes,<B17B><B17D><B17F>,Crochet Venin,PsnFang,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese venomous-fang label directly matches Poison Fang. The executable eight-character battle cell displays PsnFang for the full move name Poison Fang.,French v2 secondary gloss only,,,,
MAIN:0x03132B,MAIN,234,,Ordinary text,0x03132B,5617,0x031029,0x031029,,,424,0x03133C,泥攻击,ascii,Sludge,Détritus,Sludge,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,6,no,,"The mud-like attack is resolved as Sludge by the contiguous Poison-move table and the following Sludge Bomb entry, not as a Ground move.",French v2 secondary gloss only,,,,
MAIN:0x031332,MAIN,235,,Ordinary text,0x031332,5948,0x03102B,0x03102B,,,425,0x031344,泥爆弹,graphical_codes,<B181><B183><B185>,Bomb-Beurk,SludgBom,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese sludge-bomb label and adjacent Poison moves directly identify Sludge Bomb. The executable eight-character battle cell displays SludgBom for the full move name Sludge Bomb.,French v2 secondary gloss only,,,,
MAIN:0x031339,MAIN,236,,Ordinary text,0x031339,5949,0x03102D,0x03102D,,,426,0x03134C,毒烟,graphical_codes,0000<B18B><B18D><B18F>,0000Gaz Toxik,PoisnGas,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,10,yes,The executable battle grid provides nine-character move cells; Poison Gas is displayed as PoisnGas.,The Chinese poison-smoke label identifies Poison Gas; legacy visual padding is not reproduced. The executable nine-character battle cell displays PoisnGas for the full move name Poison Gas.,French v2 secondary gloss only,,,,
MAIN:0x031344,MAIN,237,,Ordinary text,0x031344,5838,0x031031,0x031031,,,428,0x031358,剧毒,ascii,Toxic,Toxik,Toxic,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,5,5,no,,The Chinese severe-poison label and executable context directly identify Toxic.,French v2 secondary gloss only,,,,
MAIN:0x03134A,MAIN,238,,Ordinary text,0x03134A,4851,0x031033,0x031033,,,429,0x03135E,岩碎,ascii,Low Kick,Balayage,RockSmsh,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,Corrects the mechanically wrong old Low Kick label: the Chinese explicitly names Rock Smash. The executable eight-character battle cell displays RockSmsh for the full move name Rock Smash.,French v2 secondary gloss only,,,,
MAIN:0x031353,MAIN,239,,Ordinary text,0x031353,5950,0x031035,0x031035,,,430,0x031364,音速拳,graphical_codes,<B191><B193><B195>,Éclate-Roc,MachPnch,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese sonic-speed punch label and Fighting-move sequence identify Mach Punch. The executable eight-character battle cell displays MachPnch for the full move name Mach Punch.,French v2 secondary gloss only,,,,
MAIN:0x03135A,MAIN,240,,Ordinary text,0x03135A,5951,0x031037,0x031037,,,431,0x03136C,空手切,graphical_codes,<B197><B199><B19B>,Poing-Karaté,KaratChp,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese empty-hand chop label directly matches Karate Chop. The executable eight-character battle cell displays KaratChp for the full move name Karate Chop.,French v2 secondary gloss only,,,,
MAIN:0x031361,MAIN,241,,Ordinary text,0x031361,5952,0x031039,0x031039,,,432,0x031374,低踢,graphical_codes,<B3E1><B3E3><B3E5>,Double Pied,Low Kick,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,no,,The Chinese low-kick label identifies Low Kick; the shifted French witness is not followed.,French v2 secondary gloss only,,,,
MAIN:0x031368,MAIN,242,,Ordinary text,0x031368,5618,0x03103B,0x03103B,,,433,0x03137A,二段踢,ascii,Revenge,Vendetta,DblKick,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,7,yes,The executable battle grid provides nine-character move cells; Double Kick is displayed as DblKick.,"Corrects the old Revenge mismatch: the Chinese explicitly describes a two-stage kick, Double Kick. The executable nine-character battle cell displays DblKick for the full move name Double Kick.",French v2 secondary gloss only,,,,
MAIN:0x031370,MAIN,243,,Ordinary text,0x031370,5953,0x03103D,0x03103D,,,434,0x031382,回旋踢,graphical_codes,<B3E7><B3E9><B3EB><B3ED>,Mawashi Geri,RollKick,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The executable battle grid provides nine-character move cells; Rolling Kick is displayed as RollKick.,The Chinese spinning-kick label directly matches Rolling Kick. The executable nine-character battle cell displays RollKick for the full move name Rolling Kick.,French v2 secondary gloss only,,,,
MAIN:0x031379,MAIN,244,,Ordinary text,0x031379,5954,0x03103F,0x03103F,,,435,0x03138A,当身投,graphical_codes,<B3EF><B3F1><B3F3>,Corps Perdu,VitalThr,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The martial-arts counter-throw term is resolved as Vital Throw by its exact position in the Fighting-move sequence. The executable eight-character battle cell displays VitalThr for the full move name Vital Throw.,French v2 secondary gloss only,,,,
MAIN:0x031380,MAIN,245,,Ordinary text,0x031380,5955,0x031041,0x031041,,,436,0x031392,飞踢,graphical_codes,<B3F5><B3F7><B3F9><B3FB>,Frappe Atlas,JumpKick,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,"The Chinese flying-kick label identifies JumpKick in this Fighting-move slot, not the shifted old witness. The eight-character battle label uses JumpKick so adjacent moves remain visually separated.",French v2 secondary gloss only,,,,
MAIN:0x031389,MAIN,246,,Ordinary text,0x031389,5956,0x031043,0x031043,,,437,0x031398,瓦割,graphical_codes,<B3FD><B3FF><B301>,Casse-Brique,BrickBrk,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The executable battle grid provides nine-character move cells; Brick Break is displayed as BrickBrk.,The Chinese tile-breaking label directly matches Brick Break. The executable nine-character battle cell displays BrickBrk for the full move name Brick Break.,French v2 secondary gloss only,,,,
MAIN:0x031390,MAIN,247,,Ordinary text,0x031390,5957,0x031045,0x031045,,,438,0x03139E,天升拳,graphical_codes,<B303><B305><B307><B309>,Stratopercut,SkyUpCut,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese rising-to-the-sky punch label directly identifies Sky Uppercut. The executable eight-character battle cell displays SkyUpCut for the full move name Sky Uppercut.,French v2 secondary gloss only,,,,
MAIN:0x031399,MAIN,248,,Ordinary text,0x031399,5958,0x031047,0x031047,,,439,0x0313A6,十字切,graphical_codes,<B30B><B30D><B30F>,Coup-Croix,CrossChp,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese cross-cut label directly matches Cross Chop. The executable eight-character battle cell displays CrossChp for the full move name Cross Chop.,French v2 secondary gloss only,,,,
MAIN:0x0313A0,MAIN,249,,Ordinary text,0x0313A0,5959,0x031049,0x031049,,,440,0x0313AE,爆裂拳,graphical_codes,<B311><B313><B315><B317>,Dynamopoing,DynmPnch,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese explosive-punch label and Fighting-move order identify Dynamic Punch. The executable eight-character battle cell displays DynmPnch for the full move name Dynamic Punch.,French v2 secondary gloss only,,,,
MAIN:0x0313A9,MAIN,250,,Ordinary text,0x0313A9,5960,0x03104B,0x03104B,,,441,0x0313B6,蛮力,graphical_codes,<B319><B31B><B31D><B31F>,Poing Boost,SuperPwr,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The executable battle grid provides nine-character move cells; Superpower is displayed as SuperPwr.,The Chinese brute-force label directly identifies Superpower; the divergent French witness is not used. The executable nine-character battle cell displays SuperPwr for the full move name Superpower.,French v2 secondary gloss only,,,,
MAIN:0x0313B2,MAIN,251,,Ordinary text,0x0313B2,5961,0x03104D,0x03104D,,,442,0x0313BC,气合拳,graphical_codes,<B321><B323><B325>,Mitra-Poing,FocsPnch,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The focused-energy punch term and its Fighting-move slot identify Focus Punch. The executable eight-character battle cell displays FocsPnch for the full move name Focus Punch.,French v2 secondary gloss only,,,,
MAIN:0x0313B9,MAIN,252,,Ordinary text,0x0313B9,5619,0x03104F,0x03104F,,,443,0x0313C4,啄,ascii,Peck,Picpic,Peck,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The Chinese pecking label directly matches Peck.,French v2 secondary gloss only,,,,
MAIN:0x0313BE,MAIN,253,,Ordinary text,0x0313BE,5620,0x031051,0x031051,,,444,0x0313C8,旋风,ascii,Gust,Tornade,Gust,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The Chinese whirlwind label identifies Gust in the Flying-move sequence.,French v2 secondary gloss only,,,,
MAIN:0x0313C3,MAIN,254,,Ordinary text,0x0313C3,5962,0x031053,0x031053,,,445,0x0313CE,真空斩,graphical_codes,<B327><B329><B32B>,Tranch'Air,AirCuttr,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese vacuum-slash label and neighboring Flying moves identify Air Cutter. The executable eight-character battle cell displays AirCuttr for the full move name Air Cutter.,French v2 secondary gloss only,,,,
MAIN:0x0313CA,MAIN,255,,Ordinary text,0x0313CA,5963,0x031055,0x031055,,,446,0x0313D6,翅膀拍击,graphical_codes,<B32D><B32F><B331>,Cru-Aile,WingAtk,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese wing-strike label directly matches Wing Attack. The executable eight-character battle cell displays WingAtk for the full move name Wing Attack.,French v2 secondary gloss only,,,,
MAIN:0x0313D1,MAIN,256,,Ordinary text,0x0313D1,5964,0x031057,0x031057,,,447,0x0313E0,燕返,graphical_codes,<B333><B335><B337>,Aéropique,Aerl Ace,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The traditional swallow-return name is the established source term for Aerial Ace in this executable slot. The executable eight-character battle cell displays Aerl Ace for the full move name Aerial Ace.,French v2 secondary gloss only,,,,
MAIN:0x0313D8,MAIN,257,,Ordinary text,0x0313D8,5621,0x031059,0x031059,,,448,0x0313E6,飞天术,ascii,Fly,Vol,Fly,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,3,3,no,,The Chinese flying technique directly identifies Fly.,French v2 secondary gloss only,,,,
MAIN:0x0313DC,MAIN,258,,Ordinary text,0x0313DC,5965,0x03105B,0x03105B,,,449,0x0313EE,钻孔啄,graphical_codes,<B339><B33B><B33D>,Bec Vrille,DrilPeck,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese drilling-peck label directly matches Drill Peck. The executable eight-character battle cell displays DrilPeck for the full move name Drill Peck.,French v2 secondary gloss only,,,,
MAIN:0x0313E3,MAIN,259,,Ordinary text,0x0313E3,5622,0x03105D,0x03105D,,,450,0x0313F6,飞跃,ascii,Bounce,Rebond,Bounce,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,6,6,no,,The Chinese airborne leap and executable Flying-move slot concord with Bounce.,French v2 secondary gloss only,,,,
MAIN:0x0313EA,MAIN,260,,Ordinary text,0x0313EA,5966,0x03105F,0x03105F,,,451,0x0313FC,空中爆破,graphical_codes,<B33F><B341><B343>,Aéroblast,AeroBlst,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese aerial blast label directly matches AeroBlst. The eight-character battle label uses AeroBlst so adjacent moves remain visually separated.,French v2 secondary gloss only,,,,
MAIN:0x0313F1,MAIN,261,,Ordinary text,0x0313F1,5967,0x031061,0x031061,,,452,0x031406,神鸟,graphical_codes,<B345><B347><B349>,Piqué,Sky Atk,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese divine-bird move name is the established source label for Sky Attack in this slot. The executable eight-character battle cell displays Sky Atk for the full move name Sky Attack.,French v2 secondary gloss only,,,,
MAIN:0x0313F8,MAIN,262,,Ordinary text,0x0313F8,5968,0x031063,0x031063,,,453,0x03140C,念力,graphical_codes,<B591><B593><B595>,Choc Mental,Confusn,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese telekinetic-force label and Psychic-move sequence identify Confusn. The eight-character battle label uses Confusn so adjacent moves remain visually separated.,French v2 secondary gloss only,,,,
MAIN:0x031402,MAIN,263,,Ordinary text,0x031402,4852,0x031065,0x031065,,,454,0x031412,精神光线,ascii,Psy Beam,Rafale Psy,Psybeam,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,8,no,,Uses the official one-word English name matching the Chinese psychic-beam label.,French v2 secondary gloss only,,,,
MAIN:0x03140B,MAIN,264,,Ordinary text,0x03140B,5969,0x031067,0x031067,,,455,0x03141C,迷雾球,graphical_codes,<B597><B599>,Ball'Brume,MistBall,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,4,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese mist-ball label and the structurally verified move-table target identify MistBall. The eight-character battle label uses MistBall so adjacent moves remain visually separated.,French v2 secondary gloss only,,,,
MAIN:0x031415,MAIN,265,,Ordinary text,0x031415,5970,0x031069,0x031069,,,456,0x031424,神通力,graphical_codes,<B59B><B59D><B59F>,Choc Psy,ExtrSens,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese supernatural-power term and its Psychic-move position identify Extrasensory. The executable eight-character battle cell displays ExtrSens for the full move name Extrasensory.,French v2 secondary gloss only,,,,
MAIN:0x03141F,MAIN,266,,Ordinary text,0x03141F,5971,0x03106B,0x03106B,,,457,0x03142C,预知未来,graphical_codes,<B34B><B34D><B34F><B351>,Psykoud'Boul,FutrSght,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,"Corrects the shifted witness: the Chinese explicitly says to foresee the future, identifying Future Sight. The executable eight-character battle cell displays FutrSght for the full move name Future Sight.",French v2 secondary gloss only,,,,
MAIN:0x031428,MAIN,267,,Ordinary text,0x031428,5839,0x03106D,0x03106D,,,458,0x031436,精神波动,ascii,Psychic,Psyko,Psywave,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,7,no,,"Corrects the old Psychic mismatch: the Chinese specifically names a psychic wave, Psywave.",French v2 secondary gloss only,,,,
MAIN:0x031430,MAIN,268,,Ordinary text,0x031430,5972,0x03106F,0x03106F,,,459,0x031440,食梦,graphical_codes,<B353><B355><B357>,Dévorêve,DrmEater,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese dream-eating label directly matches Dream Eater. The executable eight-character battle cell displays DrmEater for the full move name Dream Eater.,French v2 secondary gloss only,,,,
MAIN:0x031437,MAIN,269,,Ordinary text,0x031437,5973,0x031071,0x031071,,,460,0x031446,精神增压,graphical_codes,<B7E5><B7E7><B7E9>,Psycho-Boost,PsyBoost,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The executable battle grid provides nine-character move cells; Psycho Boost is displayed as PsyBoost.,The Chinese psychic-boost label directly identifies Psycho Boost. The executable nine-character battle cell displays PsyBoost for the full move name Psycho Boost.,French v2 secondary gloss only,,,,
MAIN:0x031441,MAIN,270,,Ordinary text,0x031441,5840,0x031073,0x031073,,,461,0x031450,催眠术,ascii,Hypnosis,Hypnose,Hypnosis,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,no,,The Chinese hypnosis technique directly matches Hypnosis.,French v2 secondary gloss only,,,,
MAIN:0x03144A,MAIN,271,,Ordinary text,0x03144A,5623,0x031075,0x031075,,,462,0x031458,睡眠,ascii,Rest,Repos,Rest,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The literal sleep label is mechanically resolved as Rest by this Psychic/status move slot and both aligned witnesses.,French v2 secondary gloss only,,,,
MAIN:0x03144F,MAIN,272,,Ordinary text,0x03144F,5841,0x031077,0x031077,,,463,0x03145E,瞬间移动,ascii,Teleport,Téléport,Teleport,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,no,,The Chinese instantaneous-movement label directly identifies Teleport.,French v2 secondary gloss only,,,,
MAIN:0x031458,MAIN,273,,Ordinary text,0x031458,5974,0x031079,0x031079,,,464,0x031468,瞑想,graphical_codes,<B7EB><B7ED>,Plénitude,CalmMind,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,4,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The meditation label and its verified position before Agility identify CalmMind rather than a generic state fragment. The eight-character battle label uses CalmMind so adjacent moves remain visually separated.,French v2 secondary gloss only,,,,
MAIN:0x03145D,MAIN,274,,Ordinary text,0x03145D,5624,,0x031079,,,464,0x031468,瞑想,ascii,Mind,Yoga,Mind,translated_directly_from_reviewed_chinese_source_ai_review,containing_offset,medium,reviewed_source_adjudication,ai_source_reviewed,4,4,yes,Fixed four-byte move-name cell; Mind preserves the meditation concept.,The reviewed meditation move is Calm Mind; the fixed four-byte move-name cell retains Mind.,French v2 secondary gloss only,,,,
MAIN:0x031462,MAIN,275,,Ordinary text,0x031462,5842,0x03107B,0x03107B,,,465,0x03146E,高速移动,ascii,Agility,Hâte,Agility,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,7,no,,The Chinese high-speed movement label directly matches Agility.,French v2 secondary gloss only,,,,
MAIN:0x03146A,MAIN,276,,Ordinary text,0x03146A,5843,0x03107D,0x03107D,,,466,0x031478,舌头舔,ascii,Lick,Léchouille,Lick,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,4,4,no,,The Chinese tongue-lick label directly matches Lick.,French v2 secondary gloss only,,,,
MAIN:0x03146F,MAIN,277,,Ordinary text,0x03146F,5625,0x03107F,0x03107F,,,467,0x031480,惊吓,ascii,Astonish,Étonnement,Astonish,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,8,no,,The Chinese fright or surprise label identifies Astonish in the Ghost-move sequence.,French v2 secondary gloss only,,,,
MAIN:0x031478,MAIN,278,,Ordinary text,0x031478,5975,0x031081,0x031081,,,468,0x031486,暗影拳,graphical_codes,<B359><B35B><B35D>,Poing Ombre,ShdwPnch,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese shadow-punch label directly matches Shadow Punch. The executable eight-character battle cell displays ShdwPnch for the full move name Shadow Punch.,French v2 secondary gloss only,,,,
MAIN:0x03147F,MAIN,279,,Ordinary text,0x03147F,5976,0x031083,0x031083,,,469,0x03148E,影子球,graphical_codes,<B401><B403><B405>,Ball'Ombre,ShdwBall,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The executable battle grid provides nine-character move cells; Shadow Ball is displayed as ShdwBall.,The Chinese shadow-ball label directly matches Shadow Ball. The executable nine-character battle cell displays ShdwBall for the full move name Shadow Ball.,French v2 secondary gloss only,,,,
MAIN:0x031486,MAIN,280,,Ordinary text,0x031486,5977,0x031085,0x031085,,,470,0x031496,恶梦,graphical_codes,<B407><B409><B40B>,Griffe Ombre,Nightmar,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,Corrects the shifted French witness: the Chinese explicitly names Nightmar. The eight-character battle label uses Nightmar so adjacent moves remain visually separated.,French v2 secondary gloss only,,,,
MAIN:0x03148D,MAIN,281,,Ordinary text,0x03148D,5978,0x031087,0x031087,,,471,0x03149C,怪异光,graphical_codes,<B40D><B40F><B411><B413>,Onde Folie,ConfRay,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,8,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese strange-light label and Ghost-move context identify Confuse Ray. The executable eight-character battle cell displays ConfRay for the full move name Confuse Ray.,French v2 secondary gloss only,,,,
MAIN:0x031496,MAIN,282,,Ordinary text,0x031496,5626,0x031089,0x031089,,,472,0x0314A4,龙卷,ascii,Twister,Ouragan,Twister,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,7,no,,The Chinese dragon-tornado label identifies Twister at the start of the Dragon-move sequence.,French v2 secondary gloss only,,,,
MAIN:0x03149E,MAIN,283,,Ordinary text,0x03149E,5979,0x03108B,0x03108B,,,473,0x0314AA,龙之怒,graphical_codes,<B415><B417><B419>,Draco-Rage,DrgnRage,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese dragon-rage label directly matches Dragon Rage. The executable eight-character battle cell displays DrgnRage for the full move name Dragon Rage.,French v2 secondary gloss only,,,,
MAIN:0x0314A5,MAIN,284,,Ordinary text,0x0314A5,5980,0x03108D,0x03108D,,,474,0x0314B2,龙之息吹,graphical_codes,<B41B><B41D><B41F>,Dracosouffle,DrgnBrth,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese dragon-breath label directly matches Dragon Breath. The executable eight-character battle cell displays DrgnBrth for the full move name Dragon Breath.,French v2 secondary gloss only,,,,
MAIN:0x0314AC,MAIN,285,,Ordinary text,0x0314AC,5981,0x03108F,0x03108F,,,475,0x0314BC,龙之爪,graphical_codes,<B421><B423><B425>,Draco-Griffe,DrgnClaw,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,8,6,yes,The two-column battle grid needs an empty separator cell; this compact label is capped at eight glyphs.,The Chinese dragon-claw label directly matches Dragon Claw. The executable eight-character battle cell displays DrgnClaw for the full move name Dragon Claw.,French v2 secondary gloss only,,,,
MAIN:0x0314B3,MAIN,286,,Ordinary text,0x0314B3,5982,0x031091,0x031091,,,476,0x0314C4,激鳞,graphical_codes,<B427><B429><B42B>,Draco-Choc,Outrage,translated_directly_from_chinese_ai_review,pointer_table,high,pointer_table,ai_source_reviewed,7,6,no,,The Chinese enraged-scales term and Dragon-move context identify Outrage.,French v2 secondary gloss only,,,,
